,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Tmx3,6.48E-164,0.26182665,0.536,0.209,1.35E-159,M-MDSC,Tmx3
Ndufv3,8.45E-164,0.353815164,0.724,0.325,1.76E-159,M-MDSC,Ndufv3
Lgals8,9.22E-164,0.260826793,0.505,0.187,1.92E-159,M-MDSC,Lgals8
Commd7,1.66E-163,0.302766824,0.511,0.191,3.45E-159,M-MDSC,Commd7
Nfe2l1,2.29E-163,0.277965805,0.461,0.161,4.76E-159,M-MDSC,Nfe2l1
Ap2m1,4.43E-163,0.294289425,0.608,0.253,9.21E-159,M-MDSC,Ap2m1
Vdr1,8.27E-163,0.321015456,0.376,0.108,1.72E-158,M-MDSC,Vdr
Eif2ak4,9.48E-163,0.298113684,0.487,0.178,1.97E-158,M-MDSC,Eif2ak4
Snx17,1.00E-162,0.281408126,0.543,0.215,2.08E-158,M-MDSC,Snx17
Selenot,1.03E-162,0.282906597,0.706,0.316,2.14E-158,M-MDSC,Selenot
Atp6ap1,1.24E-162,0.313443017,0.755,0.343,2.59E-158,M-MDSC,Atp6ap1
Asxl1,1.26E-162,0.375436381,0.631,0.276,2.61E-158,M-MDSC,Asxl1
Arcn1,1.34E-162,0.283715203,0.639,0.275,2.78E-158,M-MDSC,Arcn1
Lsm61,2.60E-162,0.293586415,0.587,0.242,5.40E-158,M-MDSC,Lsm6
Dnajb14,1.12E-161,0.328446843,0.496,0.189,2.32E-157,M-MDSC,Dnajb14
Cep1701,1.56E-161,0.296069936,0.569,0.228,3.24E-157,M-MDSC,Cep170
Ripk1,1.73E-161,0.260448797,0.596,0.246,3.59E-157,M-MDSC,Ripk1
Lcor,1.86E-161,0.288333459,0.697,0.315,3.86E-157,M-MDSC,Lcor
Galk2,1.91E-161,0.331504734,0.447,0.157,3.97E-157,M-MDSC,Galk2
Arfgap3,2.16E-161,0.281949806,0.442,0.151,4.50E-157,M-MDSC,Arfgap3
Bst1,3.06E-161,0.26967654,0.759,0.333,6.36E-157,M-MDSC,Bst1
Rpl411,3.22E-161,0.472175876,0.996,0.874,6.69E-157,M-MDSC,Rpl41
Ppp2r1b,3.85E-161,0.251160181,0.33,0.087,8.01E-157,M-MDSC,Ppp2r1b
Pgd,4.09E-161,0.353723763,0.835,0.408,8.50E-157,M-MDSC,Pgd
Ranbp1,4.39E-161,0.341627128,0.729,0.329,9.13E-157,M-MDSC,Ranbp1
Polr2g,4.78E-161,0.27269616,0.59,0.244,9.94E-157,M-MDSC,Polr2g
Cflar,6.62E-161,0.574342669,0.914,0.541,1.38E-156,M-MDSC,Cflar
Pigs,1.08E-160,0.301520529,0.415,0.138,2.24E-156,M-MDSC,Pigs
Tcea1,1.64E-160,0.293882543,0.626,0.27,3.42E-156,M-MDSC,Tcea1
Tjp21,2.06E-160,0.282870473,0.453,0.156,4.28E-156,M-MDSC,Tjp2
Zfp991,2.10E-160,0.297852187,0.371,0.113,4.37E-156,M-MDSC,Zfp991
Usf2,2.52E-160,0.271295807,0.698,0.308,5.25E-156,M-MDSC,Usf2
Nlrc4,2.89E-160,0.270670262,0.366,0.107,6.01E-156,M-MDSC,Nlrc4
Tgfb1,2.90E-160,0.340222314,0.788,0.379,6.03E-156,M-MDSC,Tgfb1
Psma41,5.21E-160,0.367149334,0.765,0.359,1.08E-155,M-MDSC,Psma4
Phb2,5.33E-160,0.325057095,0.684,0.303,1.11E-155,M-MDSC,Phb2
Stt3a,5.42E-160,0.308046687,0.562,0.229,1.13E-155,M-MDSC,Stt3a
Sdha,7.87E-160,0.287131387,0.65,0.287,1.64E-155,M-MDSC,Sdha
Ppfibp1,9.33E-160,0.316923472,0.535,0.206,1.94E-155,M-MDSC,Ppfibp1
Fosb,1.50E-159,0.615612075,0.935,0.529,3.12E-155,M-MDSC,Fosb
Emc2,2.08E-159,0.287186622,0.535,0.212,4.33E-155,M-MDSC,Emc2
Mrpl12,2.39E-159,0.31854788,0.562,0.232,4.96E-155,M-MDSC,Mrpl12
Slc9a71,2.65E-159,0.328672793,0.349,0.098,5.51E-155,M-MDSC,Slc9a7
Plekhm21,3.96E-159,0.262374773,0.613,0.257,8.24E-155,M-MDSC,Plekhm2
Krr1,4.03E-159,0.379411924,0.433,0.148,8.38E-155,M-MDSC,Krr1
Irak1,4.54E-159,0.276004344,0.503,0.192,9.44E-155,M-MDSC,Irak1
Lap3,6.05E-159,0.338550931,0.454,0.161,1.26E-154,M-MDSC,Lap3
Ccdc115,6.17E-159,0.29586328,0.404,0.131,1.28E-154,M-MDSC,Ccdc115
Ksr2,6.75E-159,0.304797862,0.2,0.026,1.40E-154,M-MDSC,Ksr2
Wdr7,8.97E-159,0.295883389,0.544,0.214,1.86E-154,M-MDSC,Wdr7
Chd9,1.61E-158,0.324692664,0.522,0.205,3.35E-154,M-MDSC,Chd9
Ap2a2,1.81E-158,0.268303425,0.551,0.216,3.77E-154,M-MDSC,Ap2a2
Smpdl3a,2.27E-158,0.324294403,0.868,0.378,4.72E-154,M-MDSC,Smpdl3a
Ufc11,3.20E-158,0.295214831,0.654,0.285,6.65E-154,M-MDSC,Ufc1
Ppp1cc,4.47E-158,0.283156512,0.718,0.331,9.29E-154,M-MDSC,Ppp1cc
Atp5g21,4.86E-158,0.517644417,0.936,0.466,1.01E-153,M-MDSC,Atp5g2
Smarca5,8.55E-158,0.337132253,0.824,0.416,1.78E-153,M-MDSC,Smarca5
Dennd4c,9.44E-158,0.341861943,0.545,0.217,1.96E-153,M-MDSC,Dennd4c
Pdcd6ip,1.11E-157,0.349765904,0.82,0.4,2.30E-153,M-MDSC,Pdcd6ip
Tmem1681,1.34E-157,0.276917586,0.506,0.192,2.78E-153,M-MDSC,Tmem168
Rtraf1,1.56E-157,0.400285248,0.838,0.395,3.24E-153,M-MDSC,Rtraf
Hspe11,1.73E-157,0.414279655,0.859,0.395,3.60E-153,M-MDSC,Hspe1
Dnaja2,2.49E-157,0.36299398,0.814,0.394,5.17E-153,M-MDSC,Dnaja2
Atp6v1h,2.69E-157,0.282885925,0.643,0.278,5.60E-153,M-MDSC,Atp6v1h
Rtn3,3.09E-157,0.392165799,0.914,0.496,6.42E-153,M-MDSC,Rtn3
Dnase2a,4.73E-157,0.294778147,0.449,0.158,9.83E-153,M-MDSC,Dnase2a
Mia2,4.97E-157,0.253009831,0.729,0.335,1.03E-152,M-MDSC,Mia2
Man2a1,5.41E-157,0.400963662,0.88,0.441,1.12E-152,M-MDSC,Man2a1
Ftl1-ps1,9.04E-157,0.4080019,0.853,0.397,1.88E-152,M-MDSC,Ftl1-ps1
Fam89b,1.39E-156,0.336076107,0.564,0.231,2.90E-152,M-MDSC,Fam89b
Npc1,1.49E-156,0.270799209,0.627,0.254,3.11E-152,M-MDSC,Npc1
Clasp21,1.54E-156,0.37876435,0.701,0.322,3.21E-152,M-MDSC,Clasp2
Wdr83os,1.67E-156,0.303783535,0.534,0.213,3.48E-152,M-MDSC,Wdr83os
Dync1i2,2.89E-156,0.277976192,0.646,0.282,6.02E-152,M-MDSC,Dync1i2
Ctsa,5.14E-156,0.458622572,0.913,0.428,1.07E-151,M-MDSC,Ctsa
Aldh9a1,7.26E-156,0.303819275,0.391,0.128,1.51E-151,M-MDSC,Aldh9a1
Srd5a3,1.22E-155,0.2591165,0.387,0.123,2.53E-151,M-MDSC,Srd5a3
Gusb,3.31E-155,0.282533091,0.664,0.274,6.89E-151,M-MDSC,Gusb
Itm2c1,5.62E-155,0.336319817,0.648,0.283,1.17E-150,M-MDSC,Itm2c
Nop10,6.12E-155,0.269629045,0.644,0.281,1.27E-150,M-MDSC,Nop10
Hdlbp,7.91E-155,0.320253628,0.768,0.364,1.64E-150,M-MDSC,Hdlbp
Soga1,9.32E-155,0.286081967,0.34,0.095,1.94E-150,M-MDSC,Soga1
Ywhah1,1.07E-154,0.385552004,0.84,0.408,2.22E-150,M-MDSC,Ywhah
Hnrnpa31,1.32E-154,0.506794954,0.943,0.533,2.75E-150,M-MDSC,Hnrnpa3
Sfpq1,1.69E-154,0.377708357,0.881,0.452,3.51E-150,M-MDSC,Sfpq
Ergic1,1.74E-154,0.276638574,0.555,0.226,3.63E-150,M-MDSC,Ergic1
Rsu1,1.92E-154,0.270982209,0.584,0.245,3.98E-150,M-MDSC,Rsu1
Chpt11,2.84E-154,0.307599243,0.389,0.126,5.90E-150,M-MDSC,Chpt1
Slc25a39,5.52E-154,0.294189047,0.488,0.186,1.15E-149,M-MDSC,Slc25a39
Morf4l2,5.75E-154,0.267213251,0.679,0.304,1.20E-149,M-MDSC,Morf4l2
Rmnd5a,1.36E-153,0.344930088,0.652,0.292,2.84E-149,M-MDSC,Rmnd5a
Naga,2.62E-153,0.279649261,0.461,0.171,5.46E-149,M-MDSC,Naga
Tmem109,4.35E-153,0.291544411,0.438,0.154,9.05E-149,M-MDSC,Tmem109
Ndufc21,6.78E-153,0.36049556,0.726,0.331,1.41E-148,M-MDSC,Ndufc2
Insig1,7.08E-153,0.306057932,0.411,0.137,1.47E-148,M-MDSC,Insig1
Galnt7,1.25E-152,0.304971865,0.539,0.219,2.59E-148,M-MDSC,Galnt7
Pank3,2.33E-152,0.251468576,0.377,0.117,4.85E-148,M-MDSC,Pank3
Fer,2.49E-152,0.26418612,0.333,0.091,5.17E-148,M-MDSC,Fer
Rap2b1,4.12E-152,0.30842039,0.549,0.222,8.56E-148,M-MDSC,Rap2b
Zadh2,6.39E-152,0.261880577,0.271,0.06,1.33E-147,M-MDSC,Zadh2
Mlf2,9.64E-152,0.286960855,0.577,0.243,2.00E-147,M-MDSC,Mlf2
Hspa9,1.18E-151,0.286516108,0.745,0.338,2.46E-147,M-MDSC,Hspa9
Ei24,1.24E-151,0.290028395,0.419,0.146,2.58E-147,M-MDSC,Ei24
Ifi301,2.69E-151,0.319264723,0.902,0.426,5.59E-147,M-MDSC,Ifi30
Klc1,3.35E-151,0.260785337,0.383,0.122,6.97E-147,M-MDSC,Klc1
Kif16b,1.25E-150,0.293227564,0.441,0.159,2.60E-146,M-MDSC,Kif16b
Gclc1,1.31E-150,0.320501955,0.48,0.182,2.71E-146,M-MDSC,Gclc
Tomm5,1.79E-150,0.318902764,0.59,0.252,3.71E-146,M-MDSC,Tomm5
Cox7c1,1.84E-150,0.408071468,0.87,0.431,3.82E-146,M-MDSC,Cox7c
Rex1bd,2.09E-150,0.28138391,0.594,0.252,4.34E-146,M-MDSC,Rex1bd
Mdfic,4.75E-150,0.348028834,0.717,0.31,9.87E-146,M-MDSC,Mdfic
Sec61a1,6.17E-150,0.302409398,0.601,0.263,1.28E-145,M-MDSC,Sec61a1
Tmem165,1.13E-149,0.272619969,0.606,0.264,2.35E-145,M-MDSC,Tmem165
Cops9,1.92E-149,0.311565517,0.678,0.307,3.99E-145,M-MDSC,Cops9
Nudcd2,2.11E-149,0.289940571,0.41,0.141,4.39E-145,M-MDSC,Nudcd2
Hadh,2.40E-149,0.336248581,0.377,0.125,5.00E-145,M-MDSC,Hadh
Rab3d,2.48E-149,0.250354208,0.347,0.103,5.15E-145,M-MDSC,Rab3d
Vps54,4.48E-149,0.255271872,0.758,0.366,9.32E-145,M-MDSC,Vps54
Cd22,5.05E-149,0.254540293,0.319,0.088,1.05E-144,M-MDSC,Cd22
Napg,5.92E-149,0.253736265,0.456,0.168,1.23E-144,M-MDSC,Napg
Pdcd51,1.11E-148,0.276141762,0.718,0.332,2.30E-144,M-MDSC,Pdcd5
Commd3,1.60E-148,0.302956623,0.611,0.263,3.33E-144,M-MDSC,Commd3
Wdr89,1.69E-148,0.304208039,0.707,0.323,3.51E-144,M-MDSC,Wdr89
Gdi21,2.99E-148,0.461969186,0.933,0.505,6.21E-144,M-MDSC,Gdi2
Rsrc11,6.83E-148,0.320682451,0.641,0.287,1.42E-143,M-MDSC,Rsrc1
Ndufc1,1.18E-147,0.343436851,0.658,0.292,2.45E-143,M-MDSC,Ndufc1
Git2,1.41E-147,0.293840013,0.744,0.356,2.92E-143,M-MDSC,Git2
Tex264,1.66E-147,0.311419223,0.484,0.19,3.45E-143,M-MDSC,Tex264
Gnaq,1.75E-147,0.493224235,0.963,0.642,3.65E-143,M-MDSC,Gnaq
Atpif11,1.84E-147,0.350017115,0.831,0.392,3.82E-143,M-MDSC,Atpif1
Cct31,3.95E-147,0.309849016,0.621,0.273,8.21E-143,M-MDSC,Cct3
Fbf1,4.46E-147,0.266092284,0.193,0.027,9.28E-143,M-MDSC,Fbf1
Larp41,8.61E-147,0.308318445,0.552,0.232,1.79E-142,M-MDSC,Larp4
Il12rb2,4.63E-146,0.28805499,0.287,0.071,9.63E-142,M-MDSC,Il12rb2
Acads,1.32E-145,0.287153512,0.337,0.102,2.76E-141,M-MDSC,Acads
Ube2q2,1.54E-145,0.327456767,0.562,0.239,3.19E-141,M-MDSC,Ube2q2
Mrpl42,1.98E-145,0.283502348,0.52,0.211,4.11E-141,M-MDSC,Mrpl42
Rgl1,3.58E-145,0.300404934,0.528,0.21,7.45E-141,M-MDSC,Rgl1
Plgrkt,4.98E-145,0.2506796,0.72,0.336,1.04E-140,M-MDSC,Plgrkt
Cblb1,9.74E-145,0.254288976,0.758,0.366,2.03E-140,M-MDSC,Cblb
Ola11,9.74E-145,0.300653532,0.547,0.23,2.03E-140,M-MDSC,Ola1
Galns,1.43E-144,0.301522238,0.384,0.128,2.97E-140,M-MDSC,Galns
Epb41l21,1.52E-144,0.408812661,0.926,0.508,3.15E-140,M-MDSC,Epb41l2
Ncln,2.25E-144,0.269713798,0.394,0.135,4.68E-140,M-MDSC,Ncln
Pbdc1,2.85E-144,0.318179588,0.525,0.215,5.94E-140,M-MDSC,Pbdc1
Dhx9,4.71E-144,0.286495349,0.544,0.229,9.80E-140,M-MDSC,Dhx9
Idh3g,6.00E-144,0.26198974,0.506,0.205,1.25E-139,M-MDSC,Idh3g
Ndufv21,1.24E-143,0.288435988,0.582,0.255,2.58E-139,M-MDSC,Ndufv2
Serf2,2.12E-143,0.436022934,0.986,0.804,4.42E-139,M-MDSC,Serf2
Arl8a,2.90E-143,0.277390588,0.566,0.236,6.03E-139,M-MDSC,Arl8a
Anapc51,4.38E-143,0.28142846,0.534,0.222,9.11E-139,M-MDSC,Anapc5
Eny2,7.85E-143,0.264621127,0.577,0.248,1.63E-138,M-MDSC,Eny2
Psma6,7.90E-143,0.270945344,0.788,0.377,1.64E-138,M-MDSC,Psma6
Lsmem1,1.63E-142,0.404831739,0.626,0.28,3.40E-138,M-MDSC,Lsmem1
Zfp36l2,1.82E-142,0.291949453,0.927,0.533,3.80E-138,M-MDSC,Zfp36l2
Ptma1,3.65E-142,0.49106087,0.99,0.695,7.59E-138,M-MDSC,Ptma
Gm100761,4.10E-142,0.323169444,0.779,0.372,8.52E-138,M-MDSC,Gm10076
Set1,5.46E-142,0.288162237,0.784,0.376,1.14E-137,M-MDSC,Set
Ddrgk1,6.01E-142,0.300688415,0.609,0.266,1.25E-137,M-MDSC,Ddrgk1
Emilin1,7.53E-142,0.271006302,0.317,0.09,1.57E-137,M-MDSC,Emilin1
Nfil3,8.76E-142,0.283708986,0.845,0.425,1.82E-137,M-MDSC,Nfil3
Map2k5,1.03E-141,0.308775639,0.495,0.198,2.13E-137,M-MDSC,Map2k5
Gspt1,1.30E-141,0.300406161,0.62,0.273,2.70E-137,M-MDSC,Gspt1
Ssr1,3.39E-141,0.251154922,0.625,0.276,7.05E-137,M-MDSC,Ssr1
Ext2,3.47E-141,0.275317661,0.398,0.138,7.22E-137,M-MDSC,Ext2
Cct81,4.47E-141,0.309360847,0.775,0.37,9.29E-137,M-MDSC,Cct8
Elavl1,4.79E-141,0.263673437,0.694,0.331,9.95E-137,M-MDSC,Elavl1
Efr3a1,5.50E-141,0.274637024,0.544,0.229,1.14E-136,M-MDSC,Efr3a
Cct21,9.20E-141,0.299438629,0.757,0.356,1.91E-136,M-MDSC,Cct2
Clmp,2.22E-140,0.275652906,0.333,0.101,4.62E-136,M-MDSC,Clmp
Sertad2,3.22E-140,0.313368886,0.636,0.291,6.69E-136,M-MDSC,Sertad2
AI6622701,3.53E-140,0.305571429,0.529,0.22,7.34E-136,M-MDSC,AI662270
Cox6c1,3.89E-140,0.455116925,0.921,0.495,8.09E-136,M-MDSC,Cox6c
Mycbp2,6.15E-140,0.408702961,0.888,0.506,1.28E-135,M-MDSC,Mycbp2
Tubb51,7.39E-140,0.391042646,0.89,0.445,1.54E-135,M-MDSC,Tubb5
Ubl3,9.03E-140,0.412131552,0.922,0.531,1.88E-135,M-MDSC,Ubl3
BC005537,2.46E-139,0.340582707,0.875,0.459,5.13E-135,M-MDSC,BC005537
Rps201,2.56E-139,0.473620601,0.994,0.796,5.31E-135,M-MDSC,Rps20
Nhp2,2.94E-139,0.276494374,0.563,0.241,6.11E-135,M-MDSC,Nhp2
Immt,3.85E-139,0.292734087,0.534,0.227,8.00E-135,M-MDSC,Immt
Hint21,6.02E-139,0.294952427,0.438,0.166,1.25E-134,M-MDSC,Hint2
Tmbim6,6.18E-139,0.413118034,0.936,0.568,1.29E-134,M-MDSC,Tmbim6
Rps27l1,6.25E-139,0.412808036,0.944,0.51,1.30E-134,M-MDSC,Rps27l
Ier3ip1,1.39E-138,0.252249958,0.706,0.335,2.88E-134,M-MDSC,Ier3ip1
Ndufa2,2.15E-138,0.333878059,0.863,0.438,4.46E-134,M-MDSC,Ndufa2
Selenow1,2.96E-138,0.31131173,0.736,0.343,6.17E-134,M-MDSC,Selenow
Srp721,5.87E-138,0.295668193,0.67,0.317,1.22E-133,M-MDSC,Srp72
Suclg2,2.79E-137,0.252295912,0.338,0.104,5.80E-133,M-MDSC,Suclg2
Cox4i1,4.10E-137,0.491113863,0.987,0.731,8.52E-133,M-MDSC,Cox4i1
Snrpb,2.28E-136,0.265820475,0.796,0.399,4.74E-132,M-MDSC,Snrpb
Fos,3.23E-136,0.574064744,0.945,0.627,6.73E-132,M-MDSC,Fos
Ran,1.10E-135,0.352317827,0.841,0.422,2.28E-131,M-MDSC,Ran
Olfm11,2.13E-135,0.265798847,0.359,0.117,4.42E-131,M-MDSC,Olfm1
Ado,2.21E-135,0.26437203,0.339,0.107,4.60E-131,M-MDSC,Ado
Atp5k,2.42E-135,0.258826324,0.534,0.225,5.03E-131,M-MDSC,Atp5k
Rpl22l11,5.24E-135,0.318581136,0.829,0.403,1.09E-130,M-MDSC,Rpl22l1
Hint1,9.28E-135,0.486509566,0.95,0.518,1.93E-130,M-MDSC,Hint1
Uqcrfs1,1.01E-134,0.274324021,0.707,0.339,2.10E-130,M-MDSC,Uqcrfs1
Shisa5,1.09E-134,0.352377555,0.886,0.467,2.27E-130,M-MDSC,Shisa5
Ndufb1-ps,1.16E-134,0.278759392,0.807,0.404,2.41E-130,M-MDSC,Ndufb1-ps
Plaa,1.66E-134,0.250889751,0.538,0.232,3.44E-130,M-MDSC,Plaa
Sumf1,2.10E-134,0.27151701,0.371,0.128,4.37E-130,M-MDSC,Sumf1
Gnb1,6.72E-134,0.418679035,0.956,0.614,1.40E-129,M-MDSC,Gnb1
Cox6b1,7.90E-134,0.425133236,0.908,0.504,1.64E-129,M-MDSC,Cox6b1
Atp5mpl,8.23E-134,0.310558016,0.793,0.39,1.71E-129,M-MDSC,Atp5mpl
Ndufa111,9.64E-134,0.296497011,0.638,0.294,2.01E-129,M-MDSC,Ndufa11
Pa2g4,9.71E-134,0.264914756,0.455,0.18,2.02E-129,M-MDSC,Pa2g4
Wdr431,1.02E-133,0.255956293,0.455,0.178,2.13E-129,M-MDSC,Wdr43
Pdia4,1.48E-133,0.268949251,0.389,0.138,3.08E-129,M-MDSC,Pdia4
Samm50,1.62E-133,0.260783835,0.488,0.2,3.37E-129,M-MDSC,Samm50
Ankrd11,1.72E-133,0.454547288,0.971,0.746,3.58E-129,M-MDSC,Ankrd11
Arhgap24,2.00E-133,0.356508224,0.933,0.495,4.17E-129,M-MDSC,Arhgap24
Acadl1,2.42E-133,0.282333328,0.592,0.262,5.03E-129,M-MDSC,Acadl
Bola3,2.84E-133,0.302165261,0.483,0.199,5.91E-129,M-MDSC,Bola3
Apex1,1.78E-132,0.2771755,0.334,0.107,3.70E-128,M-MDSC,Apex1
Creg1,3.65E-132,0.353590477,0.905,0.446,7.59E-128,M-MDSC,Creg1
Sarnp,4.86E-132,0.340098986,0.672,0.319,1.01E-127,M-MDSC,Sarnp
Itgb11,6.09E-132,0.360724842,0.894,0.464,1.27E-127,M-MDSC,Itgb1
Echs1,6.31E-132,0.276137802,0.512,0.213,1.31E-127,M-MDSC,Echs1
Ndufb5,1.33E-131,0.333160192,0.83,0.396,2.76E-127,M-MDSC,Ndufb5
Rps17,1.57E-131,0.510162129,0.97,0.554,3.27E-127,M-MDSC,Rps17
Csf2rb,1.60E-131,0.383272843,0.919,0.569,3.33E-127,M-MDSC,Csf2rb
Tmem147,1.66E-131,0.267667468,0.492,0.206,3.45E-127,M-MDSC,Tmem147
Pbrm11,1.87E-131,0.2503775,0.731,0.357,3.89E-127,M-MDSC,Pbrm1
Eif3l,2.70E-131,0.275928682,0.53,0.231,5.61E-127,M-MDSC,Eif3l
Prpf40a,2.98E-131,0.302259502,0.894,0.503,6.19E-127,M-MDSC,Prpf40a
Dtnbp1,3.10E-131,0.297747465,0.811,0.388,6.45E-127,M-MDSC,Dtnbp1
Mrps36,7.81E-131,0.274014095,0.443,0.174,1.62E-126,M-MDSC,Mrps36
Tnip1,3.93E-130,0.254939156,0.77,0.395,8.18E-126,M-MDSC,Tnip1
Dnah11,5.97E-130,0.289990704,0.118,0.006,1.24E-125,M-MDSC,Dnah11
Fkbp2,6.00E-130,0.268669948,0.498,0.205,1.25E-125,M-MDSC,Fkbp2
Zeb2,9.77E-130,0.488566234,0.991,0.84,2.03E-125,M-MDSC,Zeb2
Psmd141,9.87E-130,0.267490326,0.743,0.358,2.05E-125,M-MDSC,Psmd14
Rpl321,1.28E-129,0.464826577,0.994,0.731,2.66E-125,M-MDSC,Rpl32
Nucks1,2.54E-129,0.277939319,0.547,0.242,5.29E-125,M-MDSC,Nucks1
Polr1d,2.84E-129,0.346968112,0.878,0.466,5.90E-125,M-MDSC,Polr1d
Wdr91,2.89E-129,0.294019716,0.354,0.12,6.02E-125,M-MDSC,Wdr91
Anxa7,6.05E-129,0.276612285,0.591,0.266,1.26E-124,M-MDSC,Anxa7
Furin,6.57E-129,0.345482413,0.87,0.447,1.37E-124,M-MDSC,Furin
Smdt11,1.30E-128,0.360085433,0.862,0.445,2.70E-124,M-MDSC,Smdt1
Gphn1,1.52E-128,0.380460794,0.93,0.534,3.15E-124,M-MDSC,Gphn
Dis3l21,1.94E-128,0.29434175,0.477,0.194,4.04E-124,M-MDSC,Dis3l2
Nudt19,2.82E-128,0.255661552,0.327,0.105,5.87E-124,M-MDSC,Nudt19
Eef1a11,5.41E-128,0.415453046,1,0.868,1.12E-123,M-MDSC,Eef1a1
Ppp4r3a1,6.93E-128,0.252251425,0.522,0.225,1.44E-123,M-MDSC,Ppp4r3a
Sec61g1,1.22E-127,0.354828046,0.882,0.455,2.54E-123,M-MDSC,Sec61g
Ndufs6,1.64E-127,0.255127622,0.664,0.314,3.41E-123,M-MDSC,Ndufs6
Riok3,1.69E-127,0.294649727,0.913,0.545,3.52E-123,M-MDSC,Riok3
Abi1,1.70E-127,0.418051121,0.96,0.69,3.53E-123,M-MDSC,Abi1
Fdx2,1.71E-127,0.273808515,0.419,0.163,3.55E-123,M-MDSC,Fdx2
Tsc22d1,1.76E-127,0.26551789,0.406,0.152,3.67E-123,M-MDSC,Tsc22d1
Ssb1,1.84E-127,0.253492869,0.747,0.372,3.83E-123,M-MDSC,Ssb
Nenf,3.34E-127,0.289157315,0.535,0.231,6.95E-123,M-MDSC,Nenf
Rusc2,9.90E-127,0.289446428,0.356,0.123,2.06E-122,M-MDSC,Rusc2
Psma31,1.02E-126,0.387893316,0.909,0.488,2.13E-122,M-MDSC,Psma3
Atp5j21,1.16E-126,0.337069509,0.824,0.417,2.40E-122,M-MDSC,Atp5j2
Pon3,1.37E-126,0.252868871,0.346,0.117,2.84E-122,M-MDSC,Pon3
Ndufb8,6.61E-126,0.293704384,0.82,0.404,1.37E-121,M-MDSC,Ndufb8
Rack11,6.99E-126,0.46004167,0.987,0.646,1.45E-121,M-MDSC,Rack1
Rpl35a1,8.77E-126,0.42811535,0.993,0.789,1.82E-121,M-MDSC,Rpl35a
Snrpg1,1.56E-125,0.309296511,0.87,0.445,3.24E-121,M-MDSC,Snrpg
Tmem87b,1.95E-125,0.256600592,0.558,0.246,4.05E-121,M-MDSC,Tmem87b
Anp32b1,7.27E-125,0.337619009,0.851,0.432,1.51E-120,M-MDSC,Anp32b
Krtcap2,7.80E-125,0.25186871,0.714,0.335,1.62E-120,M-MDSC,Krtcap2
Limd11,1.41E-124,0.250328063,0.511,0.221,2.92E-120,M-MDSC,Limd1
Pomp1,3.40E-124,0.305525431,0.851,0.437,7.07E-120,M-MDSC,Pomp
Vdac2,9.50E-124,0.414406818,0.93,0.496,1.98E-119,M-MDSC,Vdac2
Uqcrc2,1.07E-123,0.253760273,0.566,0.255,2.22E-119,M-MDSC,Uqcrc2
Grn,7.31E-123,0.271748133,0.936,0.425,1.52E-118,M-MDSC,Grn
Rnh1,1.20E-122,0.285671718,0.861,0.424,2.49E-118,M-MDSC,Rnh1
2.Mar,2.02E-122,0.256661466,0.5,0.217,4.20E-118,M-MDSC,2.Mar
Eml61,4.50E-122,0.259621166,0.307,0.093,9.35E-118,M-MDSC,Eml6
Man2a2,7.39E-122,0.265460862,0.494,0.208,1.54E-117,M-MDSC,Man2a2
Cnpy2,1.19E-121,0.259794197,0.536,0.237,2.48E-117,M-MDSC,Cnpy2
Pcbp2,3.31E-121,0.4431672,0.956,0.559,6.88E-117,M-MDSC,Pcbp2
Chchd3,9.39E-121,0.261645567,0.565,0.259,1.95E-116,M-MDSC,Chchd3
Slc15a3,8.23E-120,0.300327097,0.904,0.517,1.71E-115,M-MDSC,Slc15a3
Atp5o,1.12E-119,0.289230065,0.788,0.38,2.33E-115,M-MDSC,Atp5o
Pepd,1.38E-119,0.262330266,0.422,0.169,2.87E-115,M-MDSC,Pepd
Rps22,1.62E-119,0.428744839,0.994,0.824,3.36E-115,M-MDSC,Rps2
Clcn5,2.73E-119,0.255933669,0.425,0.169,5.68E-115,M-MDSC,Clcn5
Ssrp1,2.78E-119,0.254162153,0.447,0.185,5.79E-115,M-MDSC,Ssrp1
Rnd3,3.95E-119,0.403971736,0.404,0.156,8.20E-115,M-MDSC,Rnd3
Cdkal11,6.40E-119,0.259476595,0.531,0.238,1.33E-114,M-MDSC,Cdkal1
Arpc4,2.04E-118,0.289477948,0.849,0.458,4.24E-114,M-MDSC,Arpc4
Lrrc8d,9.00E-118,0.341246784,0.894,0.525,1.87E-113,M-MDSC,Lrrc8d
Eif5a,1.18E-117,0.389236973,0.947,0.592,2.45E-113,M-MDSC,Eif5a
Hnrnpa2b1,1.22E-117,0.318710496,0.893,0.504,2.55E-113,M-MDSC,Hnrnpa2b1
Myh9,2.52E-117,0.369457623,0.968,0.73,5.24E-113,M-MDSC,Myh9
C1qbp1,4.21E-117,0.265634383,0.521,0.234,8.76E-113,M-MDSC,C1qbp
Sptlc2,4.30E-117,0.281365543,0.832,0.45,8.95E-113,M-MDSC,Sptlc2
Atp5e,1.07E-116,0.436810368,0.955,0.59,2.23E-112,M-MDSC,Atp5e
Cmc1,2.65E-116,0.262945394,0.464,0.198,5.50E-112,M-MDSC,Cmc1
Prmt9,5.39E-116,0.275398186,0.358,0.131,1.12E-111,M-MDSC,Prmt9
Gnas1,5.44E-116,0.351052621,0.886,0.471,1.13E-111,M-MDSC,Gnas
